Year,State,COUNT
2001,CT,6
2001,MA,3
2002,CT,10
2002,MA,19
2002,RI,1
2003,CT,12
2003,MA,12
2003,NH,2
2003,RI,5
2005,CT,4
2005,MA,4
2005,RI,1
2006,CT,7
2006,MA,2
2007,CT,2
2007,MA,3
2008,CT,5
2008,MA,1
2008,RI,1
2010,CT,7
2010,MA,6
2010,NH,1
2011,CT,8
2011,MA,5
2011,RI,1
2011,VT,1
2012,CT,12
2012,MA,25
2012,ME,1
2012,NH,1
2012,RI,2
2012,VT,1
2013,CT,1
2013,MA,7
2013,NH,1
2013,RI,1
2013,VT,1
2014,CT,3
2014,MA,5
2015,CT,8
2015,MA,7
2015,ME,1
2016,CT,1
2016,MA,10
2016,RI,2
2016,VT,2
2017,CT,2
2017,MA,5
2017,RI,1
2017,VT,2
2018,CT,18
2018,MA,42
2018,ME,1
2018,VT,1
2019,CT,1
2019,MA,2
2020,CT,5
2020,MA,9
2020,ME,1
2021,CT,5
2021,MA,9
2021,NH,1
2021,RI,1
2021,VT,1
