Year,State,fipscode,COUNT
2000,CT,9001,1
2002,CT,9001,3
2002,CT,9003,2
2002,CT,9009,2
2002,MA,25017,3
2002,MA,25025,1
2002,VT,50011,1
2003,CT,9001,1
2003,CT,9003,1
2003,CT,9009,2
2003,CT,9011,1
2003,MA,25005,1
2003,MA,25009,1
2003,MA,25027,3
2003,NH,33015,1
2003,RI,44003,1
2003,RI,44007,1
2003,VT,50001,2
2003,VT,50025,1
2004,CT,9001,1
2005,CT,9001,2
2005,MA,25017,2
2006,CT,9003,1
2006,CT,9009,1
2006,MA,25017,1
2007,CT,9009,2
2007,MA,25001,1
2007,MA,25025,1
2007,MA,25027,1
2007,RI,44001,1
2008,CT,9001,3
2010,CT,9001,3
2010,CT,9003,1
2010,MA,25027,1
2011,CT,9001,1
2011,MA,25027,1
2012,CT,9001,5
2012,CT,9003,1
2012,CT,9009,3
2012,MA,25005,1
2012,MA,25017,5
2012,MA,25021,1
2012,MA,25027,1
2012,RI,44005,1
2012,RI,44009,1
2012,VT,50009,1
2012,VT,50021,1
2013,CT,9001,3
2013,MA,25017,1
2013,VT,50015,1
2014,CT,9001,3
2014,MA,25017,1
2015,CT,9001,2
2015,MA,25025,3
2016,MA,25005,1
2016,MA,25009,1
2016,MA,25011,1
2016,MA,25017,3
2016,MA,25021,1
2017,CT,9001,1
2017,MA,25017,1
2017,NH,33015,1
2017,RI,44007,1
2017,VT,50013,1
2018,CT,9001,2
2018,CT,9003,1
2018,CT,9007,1
2018,CT,9009,1
2018,MA,25001,1
2018,MA,25009,1
2018,MA,25017,5
2018,ME,23005,1
2018,RI,44005,1
2019,MA,25005,1
2019,MA,25017,1
2019,MA,25023,1
2020,CT,9001,2
2020,CT,9009,1
2020,MA,25017,2
2020,MA,25021,1
2021,CT,9001,1
2021,CT,9003,1
2021,MA,25009,1
2021,MA,25017,1
2021,RI,44009,1
