Date,Aedes,Anopheles,Coquillettidia,Culex,Orthopodomyia,OtherSpeciesUnknown,Psorophoraferox,Uranotaeniasapphirina
2000,1,0,0,14,0,0,0,0
2001,10,4,2,46,1,0,0,1
2002,11,2,1,171,0,0,0,1
2003,12,1,1,95,0,0,2,1
2004,13,1,0,72,0,0,0,0
2005,8,0,3,126,0,0,0,0
2006,11,0,13,260,0,0,1,0
2007,7,0,2,134,0,0,0,0
2008,10,0,1,321,0,0,0,0
2009,37,8,10,64,0,0,1,4
2010,10,0,22,329,0,0,0,1
2011,10,0,11,418,0,0,0,0
2012,31,0,75,566,0,0,0,0
2013,20,0,30,358,0,0,1,0
2014,14,0,10,128,0,0,2,1
2015,15,1,1,388,0,0,0,0
2016,2,3,0,138,0,0,0,0
2017,9,6,12,458,0,7,1,0
2018,55,5,20,1000,0,0,2,0
2019,51,8,162,195,0,0,4,7
2020,2,0,46,237,0,0,0,0
2021,17,0,2,314,0,0,9,1
