County,date,Total Cases
Barnstable,07 2016,1
Barnstable,07 2018,2
Barnstable,07 2019,1
Barnstable,08 2015,2
Barnstable,08 2016,8
Barnstable,08 2017,6
Barnstable,08 2018,19
Barnstable,08 2019,10
Barnstable,09 2014,1
Barnstable,09 2016,1
Barnstable,09 2017,3
Barnstable,09 2018,6
Barnstable,09 2019,5
Berkshire,06 2017,1
Berkshire,07 2015,2
Berkshire,07 2017,2
Berkshire,07 2018,14
Berkshire,07 2019,1
Berkshire,08 2014,1
Berkshire,08 2015,5
Berkshire,08 2016,3
Berkshire,08 2017,23
Berkshire,08 2018,30
Berkshire,09 2014,1
Berkshire,09 2015,1
Berkshire,09 2017,4
Berkshire,09 2018,15
Bristol,07 2014,2
Bristol,07 2015,3
Bristol,07 2017,1
Bristol,07 2018,1
Bristol,07 2019,91
Bristol,07 2020,1
Bristol,08 2014,14
Bristol,08 2015,6
Bristol,08 2016,4
Bristol,08 2017,9
Bristol,08 2018,39
Bristol,08 2019,69
Bristol,08 2020,8
Bristol,09 2014,7
Bristol,09 2015,5
Bristol,09 2016,4
Bristol,09 2017,7
Bristol,09 2018,21
Bristol,09 2019,14
Bristol,09 2020,3
Bristol,10 2018,1
Bristol,10 2019,3
Dukes,08 2018,1
Dukes,09 2018,1
Essex,07 2014,1
Essex,07 2016,1
Essex,07 2017,4
Essex,07 2018,1
Essex,08 2014,1
Essex,08 2016,20
Essex,08 2017,21
Essex,08 2018,6
Essex,08 2019,7
Essex,09 2014,7
Essex,09 2015,2
Essex,09 2016,10
Essex,09 2017,2
Essex,09 2018,11
Essex,09 2019,8
Franklin,07 2017,3
Franklin,07 2019,1
Franklin,07 2020,2
Franklin,08 2015,2
Franklin,08 2017,12
Franklin,08 2018,33
Franklin,09 2016,2
Franklin,09 2017,5
Franklin,09 2018,11
Hampden,07 2016,1
Hampden,07 2017,2
Hampden,07 2018,8
Hampden,08 2016,4
Hampden,08 2017,24
Hampden,08 2018,16
Hampden,08 2019,6
Hampden,09 2015,3
Hampden,09 2017,8
Hampden,09 2018,3
Hampden,09 2019,2
Hampden,09 2020,1
Hampshire,07 2017,2
Hampshire,07 2018,5
Hampshire,08 2016,1
Hampshire,08 2017,10
Hampshire,08 2018,11
Hampshire,08 2019,1
Hampshire,09 2015,3
Hampshire,09 2017,5
Hampshire,09 2018,7
Middlesex,07 2014,4
Middlesex,07 2015,25
Middlesex,07 2016,3
Middlesex,07 2017,11
Middlesex,07 2018,32
Middlesex,07 2019,5
Middlesex,07 2020,14
Middlesex,08 2014,5
Middlesex,08 2015,24
Middlesex,08 2016,30
Middlesex,08 2017,33
Middlesex,08 2018,62
Middlesex,08 2019,19
Middlesex,08 2020,9
Middlesex,09 2014,4
Middlesex,09 2015,18
Middlesex,09 2016,4
Middlesex,09 2017,11
Middlesex,09 2018,16
Middlesex,09 2019,1
Middlesex,09 2020,6
Norfolk,06 2018,1
Norfolk,07 2014,1
Norfolk,07 2015,9
Norfolk,07 2016,3
Norfolk,07 2017,1
Norfolk,07 2018,9
Norfolk,07 2019,2
Norfolk,07 2020,2
Norfolk,08 2014,1
Norfolk,08 2015,6
Norfolk,08 2016,17
Norfolk,08 2017,7
Norfolk,08 2018,18
Norfolk,08 2019,17
Norfolk,08 2020,17
Norfolk,09 2015,2
Norfolk,09 2016,8
Norfolk,09 2017,3
Norfolk,09 2018,6
Norfolk,09 2019,2
Norfolk,09 2020,3
Plymouth,07 2014,4
Plymouth,07 2016,1
Plymouth,07 2017,2
Plymouth,07 2018,2
Plymouth,07 2019,82
Plymouth,07 2020,27
Plymouth,08 2014,4
Plymouth,08 2015,3
Plymouth,08 2016,2
Plymouth,08 2017,10
Plymouth,08 2018,7
Plymouth,08 2019,97
Plymouth,08 2020,38
Plymouth,09 2014,11
Plymouth,09 2015,3
Plymouth,09 2017,5
Plymouth,09 2018,23
Plymouth,09 2019,4
Plymouth,09 2020,3
Suffolk,06 2017,1
Suffolk,07 2014,2
Suffolk,07 2015,4
Suffolk,07 2016,4
Suffolk,07 2017,4
Suffolk,07 2018,5
Suffolk,07 2019,3
Suffolk,07 2020,5
Suffolk,08 2014,11
Suffolk,08 2015,13
Suffolk,08 2016,35
Suffolk,08 2017,15
Suffolk,08 2018,19
Suffolk,08 2019,1
Suffolk,08 2020,13
Suffolk,09 2014,5
Suffolk,09 2015,5
Suffolk,09 2016,5
Suffolk,09 2017,6
Suffolk,09 2018,3
Suffolk,09 2019,7
Suffolk,09 2020,10
Suffolk,10 2015,2
Worcester,06 2018,3
Worcester,07 2014,1
Worcester,07 2015,4
Worcester,07 2016,6
Worcester,07 2017,4
Worcester,07 2018,26
Worcester,07 2019,3
Worcester,08 2015,4
Worcester,08 2016,9
Worcester,08 2017,23
Worcester,08 2018,76
Worcester,08 2019,40
Worcester,08 2020,1
Worcester,09 2014,1
Worcester,09 2015,9
Worcester,09 2016,6
Worcester,09 2017,1
Worcester,09 2018,11
Worcester,09 2019,13
